"","id_enqueteur","uuid","date_enquete","start","nom_site","nom_question","probleme"
"1","niamey_3","446ce202-c318-4ca8-be34-132ff05fd124","25/06/2020","14:46:21","route_tchanga","age_chef_meg","age chef menage n est pas pris en compte dans la composition du ménage"
"2","niamey_3","944eb272-f3e4-44b9-a2dd-40a59217e1d6","26/06/2020","10:16:50","gamkalley_golley","age_chef_meg","age chef menage n est pas pris en compte dans la composition du ménage"
"3","niamey_3","e17b4017-8ed8-472c-b24a-b5392e07d144","26/06/2020","11:15:41","gamkalley_sebanguey","age_chef_meg","age chef menage n est pas pris en compte dans la composition du ménage"
"4","niamey_5","b3a58602-a734-4c98-85b3-110a1783e7d7","26/06/2020","10:43:26","saga_gassia_kouara","age_chef_meg","age chef menage n est pas pris en compte dans la composition du ménage"
"5","niamey_8","bcda098c-f639-4b0f-ba92-fda66a0ecc5e","26/06/2020","09:57:48","saga_gassia_kouara","age_chef_meg","age chef menage n est pas pris en compte dans la composition du ménage"
"6","niamey_9","9ff2aac4-36fc-4c8c-b934-3f47971451de","26/06/2020","08:42:07","fondobon_saga","age_chef_meg","age chef menage n est pas pris en compte dans la composition du ménage"
"7","niamey_9","a9d2796f-b5c7-41c4-8b51-d7dce13b5777","26/06/2020","11:44:38","saga_goungou","age_chef_meg","age chef menage n est pas pris en compte dans la composition du ménage"
"8","niamey_4","e567e488-1fcd-40a7-874d-5bf878b262c0","27/06/2020","10:43:53","cite_chinoise","age_chef_meg","age chef menage n est pas pris en compte dans la composition du ménage"
"9","niamey_3","3a854d05-f81f-4658-b8c8-5bea3df32bd2","28/06/2020","10:13:14","yantala_bas","age_chef_meg","age chef menage n est pas pris en compte dans la composition du ménage"
"10","niamey_10","ef519194-d263-42e6-aa0d-53fcee46a26e","29/06/2020","09:01:04","nord_lazaret","age_chef_meg","age chef menage n est pas pris en compte dans la composition du ménage"
"11","niamey_3","65010c22-6852-42de-bd2f-52cc79ad8307","29/06/2020","08:27:20","djeddah_koira_me","age_chef_meg","age chef menage n est pas pris en compte dans la composition du ménage"
"12","niamey_3","3ef1bd34-84bf-4265-9d30-c46b37daef00","29/06/2020","09:20:51","djeddah_koira_me","age_chef_meg","age chef menage n est pas pris en compte dans la composition du ménage"
